STATUS,ID,COLLECTDATE,EVENTTYPE,ROADNAME,DIRECTION,START_TIME,END_TIME,TITLE,CONTENT,REF,POSTDATE,POSTFROM
,418373,2016-07-08,,G65包茂高速渝湘段,,7月8日15时18分,,"COORD:	29.36103149,106.6292027",7月8日15时18分，G65包茂高速渝湘段下行方向G65巴南主线站至渝湘立交因交通事故，占用双向第一车道，现该路段车流量大，对G65巴南主线站收费站入口实施管制。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月8日15时18分,重庆交通出行网
,418372,2016-07-08,,G85渝昆高速,,7月8日15时,,"COORD:	29.51623779,106.38382176",7月8日15时，G85渝昆高速成渝段上行方向白市驿至中梁山隧道车流量大，预计通过时间超过20分钟。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月8日15时,重庆交通出行网
,418367,2016-07-08,,G85渝昆高速,,7月8日15时,,"COORD:	29.51424626,106.43952536",7月8日15时，G85渝昆高速成渝段下行方向西环至中梁山隧道车流量大，预计通过时间超过15分钟。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月8日15时,重庆交通出行网
,418366,2016-07-08,,G5013渝蓉高速,,7月8日0时48分,,"COORD:	29.653,105.96551",7月8日0时48分，G5013渝蓉高速上行方向巴岳山隧道封闭施工，下行方向单道双通。期间宽3.5米，高4.5米以上的超限车辆禁止通行。预计7月9日恢复。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月8日0时48分,重庆交通出行网
,418362,2016-07-08,,G93成渝环线高速渝遂段,,7月7日18时10分,,"COORD:	29.85751,106.10059",7月7日18时10分，G93成渝环线渝遂段下行方向铜梁北至铜梁K365+000-K366+000封闭施工，上行方向单道双通。施工期间，禁止宽度超过3米，高4.2米，长22米的车辆通行。预计7月14日恢复正常。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月7日18时10分,重庆交通出行网
,418359,2016-07-08,,G65包茂高速渝邻段,,7月7日12时8分,,"COORD:	null,null",7月7日12时8分，G65包茂高速渝邻段因养护施工，上行方向高嘴至大湾（K1507-K1502）单道双通，下行方向大湾至高嘴（K1502-K1507）封闭施工。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月7日12时8分,重庆交通出行网
,418319,2016-07-08,,G6911奉溪高速,,7月8日9时,,"COORD:	31.31827468,109.45769251",7月8日9时，G6911奉溪高速杨家湾隧道因养护施工，每日9时至20时，上行方向羊桥坝至夔门K31-K0间断放行，下行方向夔门至羊桥坝K0-K31半幅封闭，巫溪站，羊桥坝站入口对危化品车限流。每日20时至次日9时，夔门至羊桥坝K0-K31双向实施管制，上行方向车辆至羊桥坝收费站下道，下行方向车辆在夔门收费站下道。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月8日9时,重庆交通出行网
,418204,2016-07-08,,G65包茂高速渝湘段,,7月1日21时,,"COORD:	29.16436885,108.76755768",7月1日21时，G65包茂高速渝湘段上行方向K1875+380处因边坡滑坡实施正线管制，下行方向单道双通。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月1日21时,重庆交通出行网
,418202,2016-07-08,,G65包茂高速渝湘段,,7月1日20时,,"COORD:	29.21093,108.77651",7月1日20时，G65包茂高速渝湘段阿蓬江收费站因内广场边坡有滑坡现象，封闭出口2车道，现超宽车不能下道，预计恢复时间为7月9日。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,7月1日20时,重庆交通出行网
,417890,2016-07-08,,G65包茂高速渝湘段,,6月27日18时,,"COORD:	29.20857857,108.77627676",6月27日18时，G65包茂高速渝湘段下行方向阿蓬江至濯水K1867+300至K1871+100处单道双通已解除，现上行方向K1871+900至K1870+600占用第二车道和应急车道，下行方向占用第一车道。,http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,6月27日18时,重庆交通出行网
,417440,2016-07-08,,G65包茂高速渝湘段,,6月8日17时,,"COORD:	29.52855638,108.70927454","6月8日17时，G65包茂高速渝湘段黔江西收费站升级改造,禁止货车上下道,预计恢复时间为8月20日。请过往货车择道绕行，带来不便，敬请谅解。",http://cx.cqjt.gov.cn/zjcx/queryAllroadCtrlNews.html,6月8日17时,重庆交通出行网
