STATUS,ID,COLLECTDATE,EVENTTYPE,ROADNAME,DIRECTION,START_TIME,END_TIME,TITLE,CONTENT,REF,POSTDATE,POSTFROM
,132241,2016-07-11,交通事件,,双向联丰分叉-青口枢纽,2016-07-11 07:40:02,,"LOCATION AT {25.85 ,119.321}",G15线沈海高速福泉福州段K2102处（南连接线分歧口，过宏路收费站约10公里）发生交通事故，现实行临时交通管制：泉州往福州方向车辆由南连接线绕行。,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-07-11 07:42:07,福建高速公路
,132237,2016-07-11,交通事件,,双向联丰分叉-青口枢纽,2016-07-11 06:55:50,,"LOCATION AT {25.8436 ,119.314}",G15线沈海高速福泉福州段泉州往福州方向K2098处（过相思岭隧道约500米）发生交通事故，占用主车道、超车道，仅剩应急车道通行，该路段目前车流量大，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-07-11 06:57:39,福建高速公路
,132166,2016-07-11,交通事件,,福州大湖收费站-白沙收费站,2016-07-10 06:22:31,,"LOCATION AT {26.2296 ,119.096}",G3线京台高速福州段建瓯往福州方向K1867处（距白沙收费站1公里），发生交通事故，占用应急车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-07-10 06:25:35,福建高速公路
,132102,2016-07-11,交通事件,,安溪仙游龙华收费站-洛江北收费站,2016-07-09 18:40:01,,"LOCATION AT {25.2874 ,118.607}",S35线沈海复线泉州段莆田往泉州方向K117处（距洛江北收费站约5公里），发生地质灾害，事故占用主车道、紧急停车带，该路段目前单车道通行，请途经车辆谨慎驾驶。,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-07-09 12:35:59,福建高速公路
,126061,2016-07-11,交通事件,,江西将乐收费站-万安收费站,2016-06-30 10:08:30,,"LOCATION AT {26.8558 ,117.436}",G70线福银高速将乐段福州往南昌方向K287处（距万安收费站2公里）发生地质灾害，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-05-09 08:45:31,福建高速公路
,126128,2016-07-11,交通事件,,江西政和收费站-范屯枢纽,2016-05-09 17:40:25,,"LOCATION AT {27.355 ,118.742}",G1514线宁上高速政和段宁德往武夷山方向K148+100处（过佛子山服务区约1公里），发生地质灾害，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-05-09 17:37:14,福建高速公路
,126022,2016-07-11,交通事件,,双向漳平新桥收费站-岭头枢纽,2016-05-08 22:28:10,,"LOCATION AT {24.672 ,117.663}",S7211线永漳高速永安段漳平往大田方向（岭头枢纽，距西洋收费站约9公里）发生地质灾害，现实施临时交通管制：漳平往大田方向岭头枢纽匝道封闭，往大田方向车辆绕行泉南高速至西洋收费站下高速，再从西洋收费站上泉南高速行驶，请途经车辆注意绕行。,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-05-08 22:27:09,福建高速公路
,132271,2016-07-11,路况施工,,双向龙岩古田收费站-龙岩西收费站,2016-07-11 09:21:48,,"LOCATION AT {25.1705 ,116.848}",G76线厦蓉高速龙长段龙岩往长汀方向K166（田心隧道，距古田收费站8公里）正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,14,2016-07-11 09:23:53,福建高速公路
,132268,2016-07-11,路况施工,,广东北村枢纽-才溪收费站,2016-07-11 09:03:29,,"LOCATION AT {25.3066 ,116.542}","G25线长深高速上杭段才溪往连城方向K3171-K3172（过才溪收费站12公里）正在养护施工，占用主车道,该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。",14,2016-07-11 09:04:53,福建高速公路
,132263,2016-07-11,路况施工,,江西嵩口收费站-清流收费站,2016-07-11 08:40:59,,"LOCATION AT {26.1841 ,116.921}","G72线泉南高速清流段泉州往江西方向K267+605-K271+170处（莲花山隧道内,距清流收费站约11公里），正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。",14,2016-07-11 08:42:12,福建高速公路
,132261,2016-07-11,路况施工,,江西水吉收费站-将口收费站,2016-07-11 08:23:08,,"LOCATION AT {27.437 ,118.281}",G1514线宁上高速建阳段政和往武夷山方向K202+80处（过仁山服务区约4公里，安口隧道内），正在养护施工，占用主车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,14,2016-07-11 08:25:16,福建高速公路
,132259,2016-07-11,路况施工,,双向永泰东收费站-永泰葛岭收费站,2016-07-11 08:22:16,,"LOCATION AT {25.8617 ,118.999}",S35线沈海复线福永段仙游往福州方向K31+300（永泰东所附近）—K25处（距青云山服务区约1公里）正在养护施工，占用应急车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,14,2016-07-11 08:24:16,福建高速公路
,132262,2016-07-11,路况施工,,双向龙海港尾收费站-枫林枢纽,2016-07-11 08:22:00,,"LOCATION AT {24.3469 ,117.921}",S1591线招银疏港高速港尾往漳州方向K6至K4处（伍凤山隧道，过龙海港尾收费所约6公里）正在养护施工，占用第一车道，请途经车辆谨慎驾驶，提前减速。,14,2016-07-11 08:23:15,福建高速公路
,132248,2016-07-11,路况施工,,江西浦建闽浙收费站-富岭收费站,2016-07-11 07:42:58,,"LOCATION AT {27.862 ,118.68}",S0311线浦建高速浦城段浦建闽浙往富岭方向K17+800-K20+800处（距富岭收费站约1公里），正在养护施工，占用超车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,14,2016-07-11 07:44:16,福建高速公路
,132251,2016-07-11,路况施工,,江西岩峰枢纽-蓬壶收费站,2016-07-11 07:39:09,,"LOCATION AT {25.3489 ,118.159}",G72线泉南高速泉州段泉州往三明方向K79处（新琼隧道内，距蓬壶收费站约1公里）正在养护施工， 占用主车道，目前该路段单车道通行，请途经车辆谨慎驾驶。,14,2016-07-11 07:41:02,福建高速公路
,132244,2016-07-11,路况施工,,江西闽清收费站-金沙收费站,2016-07-11 07:26:00,,"LOCATION AT {26.174 ,118.824}",G70线福银高速福州段福州往南平、三明方向K74+300处（过闽清收费所约1公里）正在养护施工，占用应急车道，请途经车辆谨慎驾驶，提前减速。,14,2016-07-11 07:27:19,福建高速公路
,132245,2016-07-11,路况施工,,双向政和收费站-杨源收费站,2016-07-11 07:21:32,,"LOCATION AT {27.2633 ,118.869}",G1514线宁上高速政和段政和往宁德方向K129+683处（过政和收费站约14公里），正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,14,2016-07-11 07:23:03,福建高速公路
,132129,2016-07-11,路况施工,,广东南雅收费站-大横收费站,2016-07-09 15:25:20,,"LOCATION AT {26.8399 ,118.311}",G25线长深高速建瓯段建瓯往南雅方向K2885处（过南雅收费站约2公里），正在养护施工，占用超车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,14,2016-07-09 15:27:14,福建高速公路
,132133,2016-07-11,路况施工,,双向南雅收费站-弓鱼枢纽,2016-07-09 15:22:44,,"LOCATION AT {27.0618 ,118.356}",G25线长深高速建瓯段南雅往建瓯方向K2861处（过小桥服务区约10公里），正在养护施工，占用超车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,14,2016-07-09 15:24:14,福建高速公路
,132022,2016-07-11,路况施工,,双向金山收费站-南靖丰田收费站,2016-07-08 16:06:51,,"LOCATION AT {24.715 ,117.409}",G76线厦蓉高速漳州段龙岩往漳州方向K80+700至K80+400处（距南靖丰田收费所约8公里）正在养护施工，占用紧急停车带，请途经车辆谨慎驾驶，提前减速。,14,2016-07-08 16:09:08,福建高速公路
,132011,2016-07-11,路况施工,,双向大横收费站-南雅收费站,2016-07-08 13:04:39,,"LOCATION AT {26.7974 ,118.267}",G25线长深高速延平段南平往建瓯方向K2892+100处（过大横收费站约1公里），正在养护施工，占用主车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,14,2016-07-08 13:06:15,福建高速公路
,130268,2016-07-11,路况施工,,双向王大厝枢纽-周宁收费站,2016-07-07 21:05:58,,"LOCATION AT {27.1566 ,119.059}",G1514线宁上高速政和段政和往宁德方向K102+800处（过杨源收费站约6公里），正在养护施工，占用政和往宁德方向车道，该路段目前并道双向通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,14,2016-06-20 20:07:15,福建高速公路
,131937,2016-07-11,路况施工,,双向宁德北收费站-下白石收费站,2016-07-07 17:49:07,,"LOCATION AT {26.7715 ,119.594}",G15线沈海高速宁德段宁德往霞浦方向K1969+100处（过云淡服务区约1公里）因养护施工，主车道布控，目前该路段单车道可通行。请途经车辆谨慎驾驶，提前减速。,14,2016-07-07 17:50:32,福建高速公路
,131523,2016-07-11,路况施工,,安溪永泰西收费站-永泰梧桐收费站,2016-07-03 16:09:24,,"LOCATION AT {24.3199 ,117.323}",S35线沈海复线福永段福州往梧桐、仙游方向K45+700处（过永泰西收费所约5公里）正在养护施工，占用慢车道、应急车道，请途经车辆谨慎驾驶，提前减速。,14,2016-07-03 16:16:09,福建高速公路
,131372,2016-07-11,路况施工,,江西范屯枢纽-回龙收费站,2016-07-01 22:54:53,,"LOCATION AT {27.3782 ,118.627}",G1514线宁上高速建阳段政和往建阳方向K161+940处（过佛子山服务区约14公里，界溪1号隧道内），正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,14,2016-07-01 22:59:37,福建高速公路
,131229,2016-07-11,路况施工,,双向明溪南收费站-永安西收费站,2016-06-30 14:08:28,,"LOCATION AT {26.0381 ,117.296}",G72线泉南高速永安段江西往泉州方向K215处（上曹隧道内，距永安西收费站约3公里）正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,14,2016-06-30 14:12:48,福建高速公路
,127847,2016-07-11,路况施工,,广东宁德北收费站-宁德南收费站,2016-06-30 11:27:43,,"LOCATION AT {26.7198 ,119.578}",G15线沈海高速宁德段福安往宁德方向K1975+200M处（过漳湾收费站500米）正在养护施工，该路段目前并道双向通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,14,2016-05-27 08:25:01,福建高速公路
,131099,2016-07-11,路况施工,,广东水古收费站-丹阳收费站,2016-06-29 10:40:20,,"LOCATION AT {26.413 ,119.493}",G15线沈海高速罗长段宁德往福州方向K2019-K2020（过丹阳收费站约3公里）正在养护施工，占用主车道和应急停车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,14,2016-06-29 10:46:53,福建高速公路
,130937,2016-07-11,路况施工,,江西南靖丰田收费站-金山收费站,2016-06-27 18:04:00,,"LOCATION AT {24.6725 ,117.439}",G76线厦蓉高速漳州段漳州往龙岩方向K75至K75+400处(过南靖丰田收费所约3公里)正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,14,2016-06-27 18:08:35,福建高速公路
,130795,2016-07-11,路况施工,,双向金山收费站-南靖丰田收费站,2016-06-26 15:10:12,,"LOCATION AT {24.6786 ,117.435}",G76线厦蓉高速漳州段龙岩往漳州方向K75+800至K75+300处(距南靖丰田收费所约3公里)正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,14,2016-06-26 15:15:01,福建高速公路
,130619,2016-07-11,路况施工,,双向金山收费站-南靖丰田收费站,2016-06-24 13:21:31,,"LOCATION AT {24.7271 ,117.394}",G76线厦蓉高速漳州段龙岩往漳州方向K82+900至K82+500处(过金山收费所约8公里)正在养护施工，占用紧急停车带，请途经车辆谨慎驾驶，提前减速。,14,2016-06-24 13:25:43,福建高速公路
,130511,2016-07-11,路况施工,,双向罗源湾收费站-飞鸾枢纽,2016-06-23 09:44:10,,"LOCATION AT {26.4818 ,119.605}",接养护中心通知：G15W3线沈海复线福州段福州往宁德方向K159+150（过罗源湾收费站约2公里）正在养护施工，占用紧急停车道，请途经车辆谨慎驾驶，提前减速。,14,2016-06-23 09:48:54,福建高速公路
,130488,2016-07-11,路况施工,,江西宁上闽赣收费站-宁上闽赣交界,2016-06-23 08:16:58,,"LOCATION AT {27.8545 ,117.905}",G1514宁上高速武夷山段宁上闽赣往江西上饶方向K288-K289处（过洋庄服务区约8公里，大安岭隧道内），正在养护施工，占用主车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,14,2016-06-23 08:31:45,福建高速公路
,130453,2016-07-11,路况施工,,江西海沧枢纽-长泰天柱山收费站,2016-06-22 17:04:36,,"LOCATION AT {24.5687 ,117.891}",G76线厦蓉高速漳州段厦门往龙岩方向K20至K24（天成山隧道，距天柱山收费所约4公里）正在养护施工，占用第二、三车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,14,2016-06-22 17:09:32,福建高速公路
,130434,2016-07-11,路况施工,,广东泉州收费站-池店收费站,2016-06-22 12:24:56,,"LOCATION AT {24.9004 ,118.625}",G15线沈海高速泉厦泉州段福州往厦门方向K2237处（大坪山隧道小车道）正在养护施工，布控小车车道，请途经车辆谨慎驾驶，提前减速。,14,2016-06-22 12:29:30,福建高速公路
,130183,2016-07-11,路况施工,,江西龙岩收费站-龙门枢纽,2016-06-19 20:31:21,,"LOCATION AT {25.0751 ,117.013}",G76线厦蓉高速漳龙段龙岩往长汀方向K144+300（过龙岩所4公里）正在养护施工，占用主车道及应急车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,14,2016-06-19 20:36:00,福建高速公路
,129950,2016-07-11,路况施工,,双向顺昌收费站-峡阳收费站,2016-06-17 15:33:29,,"LOCATION AT {26.8043 ,117.836}",S10线宁光高速顺昌段顺昌往南平方向K92+855处（过顺昌收费站约500米，顺昌3#隧道口），正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,14,2016-06-17 15:38:55,福建高速公路
