spider_oid,spider_fststake,spider_lststake,spider_direction,spider_dist,spider_postdate,spider_ref,START_TIME,END_TIME,spider_status,fake_dist,fake_direction,event_type,reason,event_source,start_time,end_time,loc_name,cycle,begin_end,ref_point,ref_point_type,description,is_sure,speed,available,occupy,weather,city,link_info
151098,K2333,K2333,漳州枢纽-福井分叉,0.0,2016-08-18 17:20:10,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-08-18 17:21:48,,,,,,1,福建高速公路,1471512108000,0,G15|沈海高速,,,"117.834 ,24.5152",4,G15线沈海高速厦漳漳州段漳州往厦门方向K2333处（过漳州收费所约5公里）发生交通事故，占用超车道及紧急停车带，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,
151093,K3,K3,旗山收费站-南屿枢纽,0.0,2016-08-18 15:44:30,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-08-18 15:45:24,,,,,,1,福建高速公路,1471506324000,0,S35|福诏高速,,,"119.231 ,25.9571",4,S35线福诏高速漳州段诏安往漳州方向K3处（天宝收费所出口匝道）发生交通事故，占用出口匝道行车道，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,0,,,,,,
151003,k43.098,k72.842,白云山收费站-周宁收费站,-1,2016-08-17 17:08:18,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-08-17 17:06:25,,,,,,1,福建高速公路,1471424785000,0,G1514|宁上高速,,,"119.419 ,27.0319",4,G1514线宁上高速宁德段福安往周宁方向61K处（际溪隧道内，距周宁收费站约11公里），发生交通事故，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,
150825,K57,K57,梅溪收费站-闽侯收费站,0.0,2016-08-15 09:28:23,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-08-15 09:29:05,,,,,,1,福建高速公路,1471224545000,0,G70|福银高速,,,"118.979 ,26.1879",4,G70线福银高速福州段三明、南平往福州方向K57处（过梅溪收费所9公里）发生交通事故，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,
150774,K184,K184,安溪收费站-安溪东收费站,0.0,2016-08-14 14:21:37,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-08-14 14:28:09,,,,,,1,福建高速公路,1471156089000,0,S35|S35线沈海复线,,,"118.1 ,25.0486",4,S35线沈海复线泉州段安溪官桥往安溪方向K184处（过安溪官桥收费站约4公里），发生交通事故，事故占用超车道，目前该路段主慢车道可通行，请途经车辆谨慎驾驶。,0,,,,,,
150753,K151,K151,桃源收费站-大田收费站,0.0,2016-08-14 12:16:37,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-08-14 08:45:28,,,,,,1,福建高速公路,1471135528000,0,G72|泉南高速,,,"117.698 ,25.6885",4,G72线泉南高速大田段永安往泉州方向K151处（三阳隧道内，距大田收费站约17公里）正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,
150735,K68+900,K68+700,南靖丰田收费站-天宝枢纽,200.00000000000284,2016-08-14 12:16:37,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-08-14 01:10:26,,,,,,1,福建高速公路,1471108226000,0,G76|厦蓉高速,,,"117.486 ,24.6439",4,G76线厦蓉高速漳州段龙岩往漳州方向K68+900至K68+700处（过南靖丰田收费所约4公里）发生边坡溜方，占用主车道及紧急停车带，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,
150730,K168,K168,南安金淘收费站-安溪东收费站,0.0,2016-08-14 12:16:37,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-08-14 00:56:48,,,,,,1,福建高速公路,1471107408000,0,S35|S35线沈海复线,,,"118.248 ,25.0531",4,S35线沈海复线泉州段安溪往厦门方向K168处（田底隧道入口处，过安溪东收费约1公里），发生交通事件，事件占用慢车道，该路段目前主、超车道可通行，请途经车辆谨慎驾驶。,0,,,,,,
150702,K26,K26,永泰东收费站-永泰葛岭收费站,0.0,2016-08-13 17:36:43,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-08-13 17:35:00,,,,,,1,福建高速公路,1471080900000,0,S35|S35线沈海复线,,,"119.05 ,25.8681",4,S35线沈海复线福永段仙游往福州方向K26处（过永泰东收费所约5公里），发生交通事故，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,
150555,K75+800,K75+800,峡阳收费站-来舟收费站,0.0,2016-08-12 16:35:43,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-08-12 16:34:17,,,,,,1,福建高速公路,1470990857000,0,S10|宁光高速,,,"117.937 ,26.7115",4,S10线宁光高速顺昌段顺昌往南平方向K75+800处(过安窠服务区约4公里），发生交通事故，占用超车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,0,,,,,,
