STATUS,ID,COLLECTDATE,EVENTTYPE,ROADNAME,DIRECTION,START_TIME,END_TIME,TITLE,CONTENT,REF,POSTDATE,POSTFROM
,,2016-07-11,养护施工,G25K1839至K1932,双向-LX0000000000922,2016-07-11 09:00:00,2016-07-11 18:00:00,locate at x: 118.796469 Y: 33.148711,打药治虫，占用第一车道或第三车道和紧急停靠带（临时停靠，流动作业）,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-07-11 09:13:12,江苏省交通运输厅
,,2016-07-11,养护施工,G25K1839至K1932,上行-LX0000000000922,2016-07-11 09:00:00,2016-07-11 18:00:00,locate at x: 118.796469 Y: 33.148711,苗木修剪，占用紧急停靠带（临时停靠，流动作业）,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-07-11 09:14:14,江苏省交通运输厅
,,2016-07-11,交通事故,G2K860至K971,上行-LX0000000000921,2016-07-11 08:40:00,2016-07-11 14:00:00,locate at x: 119.554574 Y: 32.6281,上海往北京方向K946处一货车翻边沟，驳载起吊处理中，占慢、应急车道，现场车多缓行。,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-07-11 09:05:02,江苏省交通运输厅
,,2016-07-11,交通事故,S87K000至K007,上行-LX0000000000947,2016-07-11 08:25:00,2016-07-11 19:00:00,locate at x: null Y: null,2016年7月11日8时25分接南京交警通知，杭州往南京方向往绕城转三桥方向匝道内发生一起小车撞老人并与另一车追尾，有一人受伤，,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-07-11 08:54:50,江苏省交通运输厅
,,2016-07-11,养护施工,G42K194至K284,双向-LX0000000000930,2016-07-11 07:00:00,2016-07-11 20:00:00,locate at x: 119.060367 Y: 32.063655,汤山站出口5道超宽道称重设备故障，暂时关闭该道,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-07-11 07:26:03,江苏省交通运输厅
,,2016-07-11,养护施工,G2501K25至K55,下行-LX0000000000923,2016-07-11 06:00:00,2016-07-11 18:00:00,locate at x: 118.95259 Y: 32.282498,北往南K30进行中分带下水道改造施工，现场占用第一行车道。,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-07-11 06:24:49,江苏省交通运输厅
,,2016-07-11,交通事故,S38K102至K190,下行-LX0000000000938,2016-07-11 05:15:00,2016-07-11 07:00:00,locate at x: 119.09067 Y: 31.707796,常宁K185附近一小车撞中央护栏，占据第一车道，无人受伤。,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-07-11 05:40:56,江苏省交通运输厅
,,2016-07-11,养护施工,临海高等级公路,上行-G228,2016-07-09 08:00:00,2016-07-16 09:00:00,locate at x: null Y: null,"因养护施工,临海高等级公路[G228],上行[如东县栟茶镇方向],2534.4K至2535.26K,目前行驶缓慢,采取借道行驶的措施,请谨慎驾驶。开始时间2016年07月09日,预计恢复时间2016年07月16日 09时。 发布时间",http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,null,江苏省交通运输厅
,,2016-07-11,养护施工,阜扬线,上行-S231,2016-07-08 15:19:49,2016-09-30 18:00:00,locate at x: 119.896373 Y: 32.763764,"因养护施工,阜扬线[S231],上行[建设村方向],116K至119K,目前行驶缓慢,采取借道行驶的措施,请谨慎驾驶。开始时间2016年07月08日,预计恢复时间2016年09月30日 18时。 发布时间",http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,null,江苏省交通运输厅
,,2016-07-11,养护施工,阜扬线,下行-S231,2016-07-08 15:16:54,2016-09-30 17:00:00,locate at x: 119.853912 Y: 32.878476,"因养护施工,阜扬线[S231],下行[中堡方向],103.6K至104.601K,目前行驶缓慢,采取借道行驶的措施,请谨慎驾驶。开始时间2016年07月08日,预计恢复时间2016年09月30日 17时。 发布时间",http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,null,江苏省交通运输厅
,,2016-07-11,养护施工,大兴金线,上行-S332,2016-07-08 15:08:59,2016-09-30 18:00:00,locate at x: 120.196942 Y: 33.06251,"因养护施工,大兴金线[S332],上行[安徽铜城界方向],62K至70K,目前行驶缓慢,采取借道行驶的措施,请谨慎驾驶。开始时间2016年07月08日,预计恢复时间2016年09月30日 18时。 发布时间",http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,null,江苏省交通运输厅
,,2016-07-11,养护施工,G2513K110至K203,上行-LX0000000000924,2016-07-08 07:00:00,2016-07-12 18:00:00,locate at x: 117.951954 Y: 33.953103,G2513徐淮方向K142+100至K136+900，进行排水路面专项治理，封闭徐淮方向半幅道路，在淮徐方向超车道进行借道通行。施工期间睢宁北收费站出入口关闭。,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-07-04 11:06:26,江苏省交通运输厅
,,2016-07-11,天气受阻-雨,老明线,上行-S341,2016-07-07 11:00:00,2016-07-13 11:00:00,locate at x: 119.267483 Y: 31.53061,"因雨,老明线[S341],上行[明觉方向],0.3K处,目前阻断,采取中断双向交通的措施,请选择其它线路绕行。开始时间2016年07月07日,预计恢复时间2016年07月13日 11时。 发布时间",http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,null,江苏省交通运输厅
,,2016-07-11,养护施工,S69K0至K79,双向-LX0000000004951,2016-07-07 07:00:00,2016-07-30 18:00:00,locate at x: 117.022735 Y: 34.430976,郑集收费站因扩建出口收费道口，将于2016年7月7日至2016年7月30日，关闭S69郑集收费站出口超宽道。,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-07-06 09:03:35,江苏省交通运输厅
,,2016-07-11,养护施工,济徐高速公路,双向-S69,2016-07-07 07:00:00,2016-07-30 18:00:00,locate at x: null Y: null,"因养护施工,济徐高速公路[S69],双向,72K处,目前行驶缓慢,采取郑集收费站因扩建出口收费道口的措施,请选择其它线路绕行。开始时间2016年07月07日,预计恢复时间2016年07月30日 18时。 发布时间",http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,null,江苏省交通运输厅
