spider_oid,spider_fststake,spider_lststake,spider_direction,spider_dist,spider_postdate,spider_ref,START_TIME,END_TIME,spider_status,fake_dist,fake_direction,event_type,reason,event_source,start_time,end_time,loc_name,cycle,begin_end,ref_point,ref_point_type,description,is_sure,speed,available,occupy,weather,city,link_info
K972-K1037-G40-G2,K1008+750,K1008+750,双向,0.0,2016-08-10 12:08:07,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2017-03-01 06:00:00,2017-03-31 18:00:00,,,,,1,江苏省交通运输厅,1488319200000,1490954400000,G2与G40共线K972至K1037|,,,"119.978124,32.289094",1,宁通高速宣堡服务区改扩建工程，计划于2016年8月15日—2017年3月30日实施，共分为三个阶段，第三阶段为：交通导改，计划2017年3月1日—2017年3月31日实施，主要施工内容：K1008+750通道老路范围反开挖施工。交通组织方式：主线老路左右幅封闭，绕行外侧新拼宽两个车道。,1,,,,-1,,
K972-K1037-G40-G2,K972,K1037,双向,,2016-08-10 12:09:09,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-10-20 06:00:00,2017-02-28 18:00:00,,,,,1,江苏省交通运输厅,1476914400000,1488276000000,G2与G40共线K972至K1037|,,,"119.978124,32.289094",1,宁通高速宣堡服务区改扩建工程，计划于2016年8月15日—2017年3月30日实施，共分为三个阶段，第二阶段为：服务区关停，计划2016年10月20日—2017年02月28日实施，主要施工内容：1、剩余老匝道口处主线拼宽路基及道路基。2、主线拼宽侧路面施工。3、服务区结构物等拆除，房建区填土整平。交通组织方式：主线正常通行，服务区关停。,1,,,,-1,,
K972-K1037-G40-G2,K972,K1037,双向,,2016-08-16 11:09:03,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-20 07:00:00,2016-12-31 20:00:00,,,,,2,江苏省交通运输厅,1471647600000,1483185600000,G2与G40共线K972至K1037|,,,"119.934809,32.328784",1,宁通高速宣堡枢纽匝道外移及顺接施工： 1、8月20日-10月20日对北京往泰州大桥方向匝道、泰州大桥往上海方向匝道主线拓宽，封闭宣堡枢纽南侧北京往泰州大桥方向匝道、泰州大桥往上海方向匝道； 2、10月21日-12月31日对上海往泰州大桥方向匝道、泰州大桥往北京方向匝道主线拓宽，封闭宣堡枢纽北侧上海往泰州大桥方向匝道、泰州大桥往北京方向匝道。,1,,,,-1,,
G42-302K-,302K,,双向,-1,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-20 00:00:00,2016-11-20 23:00:00,,,,,2,江苏省交通运输厅,1471622400000,1479654000000,沪蓉高速|G42,,,"118.756654,31.9703",1,"因养护施工,沪蓉高速[G42],双向,302K处,目前阻断,采取借道行驶的措施,请选择其它线路绕行。开始时间2016年08月20日,预计恢复时间2016年11月20日 23时。",1,,,,-1,,
S35-K56-K28,K28,K56,双向,,2016-08-16 21:34:18,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-20 00:00:00,2016-12-31 23:59:00,,,,,2,江苏省交通运输厅,1471622400000,1483199940000,S35K28至K56|null,,,"119.934473,32.325656",1,泰州大桥宣堡枢纽匝道外移及顺接施工： 1、8月20日0:00-10月20日24:00封闭泰州大桥宣堡枢纽往上海方向匝道、宁通高速上海方向转泰州大桥匝道； 2、10月21日0:00-12月31日24:00封闭泰州大桥宣堡枢纽往北京方向匝道、宁通高速北京方向转泰州大桥匝道。,1,,,,-1,,
S38-K101-K000,K000,K101,上行,,2016-08-15 09:57:11,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-19 06:30:00,2016-08-19 18:00:00,,,,,2,江苏省交通运输厅,1471559400000,1471600800000,S38K000至K101|,,,"120.117218,31.739903",1,横林枢纽宁太方向转沪宁南京方向匝道，路面铣刨施工封闭。,1,,,,-1,,
S38-K101-K000,K000,K101,上行,,2016-08-17 20:59:29,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-19 06:30:00,2016-08-19 21:00:00,,,,,2,江苏省交通运输厅,1471559400000,1471611600000,S38K000至K101|,,,"120.117218,31.739903",1,横林枢纽宁太方向转沪宁南京方向匝道，路面铣刨施工封闭。,1,,,,-1,,
K1120-K1095-G42-G2,K1114+700,K1114+700,下行,0.0,2016-08-18 16:34:47,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-18 16:20:00,2016-08-18 18:00:00,,,,,1,江苏省交通运输厅,1471508400000,1471514400000,G2与G42共线K1095至K1120|,,,"120.459576,31.500459",1,G2 K1114+700(无锡段、南幅）一辆货车抛锚在第三车道，目前车多缓行约2公里，正在处理中。,1,,,,-1,,
S28-K261-K226,K256+700,K256+700,下行,0.0,2016-08-18 15:24:13,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-18 15:00:00,2016-08-19 20:00:00,,,,,2,江苏省交通运输厅,1471503600000,1471608000000,S28K226至K261|,,,"119.339973,32.381646",1,启扬高速启东往扬州方向K256+700路面维修施工，占快车道，夜间设备停靠在快车道。,1,,,,-1,,
S38-K190-K102,K102,K190,双向,,2016-08-18 14:49:30,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-18 14:40:00,2016-08-18 17:00:00,,,,,1,江苏省交通运输厅,1471502400000,1471510800000,S38K102至K190|,,,"119.306082,31.726312",1,养护报茅山隧道内供电停电，供电局正在抢修。,1,,,,-1,,
S336-1392K-,139.2K,,下行,-1,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-18 14:10:25,2016-08-18 15:00:00,,,,,1,江苏省交通运输厅,1471500625000,1471503600000,海通都线|S336,,,"-1,-1",1,"因交通事故,海通都线[S336],下行[启东市寅兴垦区海防大堤方向],139.2K处,目前行驶缓慢,采取限速行驶的措施,请谨慎驾驶。开始时间2016年08月18日,预计恢复时间2016年08月18日 15时。",1,,,,-1,,
K258-K212-G40,K233+400,K236+320,下行,2.9199999999999875,2016-08-18 12:42:53,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-18 14:00:00,2016-08-20 18:00:00,,,,,2,江苏省交通运输厅,1471500000000,1471687200000,G40K212至K258|,,,"120.461932,32.135867",1,2016年8月18日14:00—2016年8月20日18:00，计划对宁通高速广九段G40：K233+400—K236+320（焦港河大桥）往南京方向实施铣刨施工，施工期间，上述路段实施借道通行。,1,,,,-1,,
