spider_oid,spider_fststake,spider_lststake,spider_direction,spider_dist,spider_postdate,spider_ref,START_TIME,END_TIME,spider_status,fake_dist,fake_direction,event_type,reason,event_source,start_time,end_time,loc_name,cycle,begin_end,ref_point,ref_point_type,description,is_sure,speed,available,occupy,weather,city,link_info
accident_ANKJ2J79G00,K517+430,K517+429,新泰东-钢城,0.9999999999763531,,http://www.sdjtcx.com/showIndex.do?method=index,2016-08-18 14:16:00,2016-08-18 18:19:00,,,,,1,山东交通出行网,1471500960000,1471515540000,京沪高速,,,"117.820586589991 ,35.9655311301083",4,京沪高速新泰东到G2K507段有事故.,1,,,,,,
road_ANEWHHP5Q00,K28+430,K28+450,泰安东-化马湾,19.999999999999574,,http://www.sdjtcx.com/showIndex.do?method=index,2016-08-11 10:10:00,,,,,,2,山东交通出行网,1470881400000,0,泰新高速,,,"117.307726053848 ,36.1211673402604",4,"泰新高速泰安东到化马湾段有施工,单向并道行驶.",0,,,,,,
road_ANC9Y6RD000,K144+650,K147+0,行村-羊郡,2349.9999999999945,,http://www.sdjtcx.com/showIndex.do?method=index,2016-08-04 12:51:00,2016-08-20 18:00:00,,,,,2,山东交通出行网,1470286260000,1471687200000,威青高速,,,"120.829987467483 ,36.6560491922955",4,"威青高速行村到羊郡段有施工,双向并道行驶.",1,,,,,,
road_ANKCQBA1800,K564+0,K567+0,蒙阴-孟良崮,3000.0,,http://www.sdjtcx.com/showIndex.do?method=index,2016-08-18 09:05:00,2016-08-21 19:00:00,,,,,2,山东交通出行网,1471482300000,1471777200000,京沪高速,,,"118.010612908363 ,35.6319149276919",4,京沪高速蒙阴到孟良崮段有施工.,1,,,,,,
road_ANKD3Q7WQ00,K26+150,K23+250,茌平-齐河西,2899.9999999999986,,http://www.sdjtcx.com/showIndex.do?method=index,2016-08-18 08:01:00,2016-08-24 18:00:00,,,,,2,山东交通出行网,1471478460000,1472032800000,济聊高速,,,"116.561714221206 ,36.6672745366066",4,"济聊高速S1K40到齐河西段有施工,双向并道行驶.",1,,,,,,
road_ANKD3RKJ000,K34+300,K31+300,茌平-齐河西,2999.9999999999964,,http://www.sdjtcx.com/showIndex.do?method=index,2016-08-15 19:37:00,2016-08-20 19:37:00,,,,,2,山东交通出行网,1471261020000,1471693020000,济聊高速,,,"116.4772747204 ,36.6467881805028",4,济聊高速S1K40到齐河西段有施工.,1,,,,,,
road_ANKD430K000,K27+280,K26+150,茌平-齐河西,1130.0000000000025,,http://www.sdjtcx.com/showIndex.do?method=index,2016-08-15 19:36:00,2016-08-20 19:36:00,,,,,2,山东交通出行网,1471260960000,1471692960000,济聊高速,,,"116.540780968905 ,36.6611046818861",4,济聊高速S1K40到齐河西段有施工.,1,,,,,,
road_ANKD2YLBQ00,K6+0,K7+880,聊城,1880.0,,http://www.sdjtcx.com/showIndex.do?method=index,2016-08-13 16:17:00,2016-08-20 16:17:00,,,,,2,山东交通出行网,1471076220000,1471681020000,济聊高速,,,"116.745549984905 ,36.7329081645515",4,济聊高速齐河南到晏城段有施工.,1,,,,,,
road_AL0HK3AT000,K93+490,K85+516,聊城西-聊城,7973.999999999989,,http://www.sdjtcx.com/showIndex.do?method=index,2016-04-11 15:53:00,,,,,,2,山东交通出行网,1460361180000,0,济聊高速,,,"115.903493387736 ,36.4715021599305",4,济聊高速聊城西到聊城段有施工.,0,,,,,,
road_ANKDHJ2PQ00,K7+880,K9+0,聊城,1120.0,,http://www.sdjtcx.com/showIndex.do?method=index,2016-08-18 09:55:00,,,,,,2,山东交通出行网,1471485300000,0,济聊高速,,,"116.735163646301 ,36.7295901056926",4,济聊高速齐河南到晏城段有施工.,0,,,,,,
