STATUS,ID,COLLECTDATE,EVENTTYPE,ROADNAME,DIRECTION,START_TIME,END_TIME,TITLE,CONTENT,REF,POSTDATE,POSTFROM
,5,2016-07-11,1006002,宁波绕城高速,逆时针九龙湖站 - 保国寺站,,2016-07-25 16:00:00,保国寺站附近有施工,07-01 06:30 G1501宁波绕城高速九龙湖往姜山北方向保国寺站附近有施工，占据第二、第三车道及硬路肩车道，预计在2016-07-25 16:00:00后恢复。,http://app.zjzhgs.com/MQTTWechatAPIServer/businessserver/showhighdetail/5,2016-07-01 06:30:00,浙江智慧高速
,3,2016-07-11,1006001,沈海高速(杭州湾大桥),双向庵东站 - 慈溪站,,,庵东站附近有天气,07-11 06:41 G15沈海高速(杭州湾大桥)双向因暴雨全桥限速80km/h。,http://app.zjzhgs.com/MQTTWechatAPIServer/businessserver/showhighdetail/3,2016-07-11 06:41:29,浙江智慧高速
,3,2016-07-11,1006003,沈海高速(杭州湾大桥),双向嘉兴港区站 - 庵东站,,,杭州湾跨海大桥禁止危化品车辆通行,杭州湾跨海大桥，（0点至6点）禁止危化品车辆通行。,http://app.zjzhgs.com/MQTTWechatAPIServer/businessserver/showhighdetail/3,2014-09-30 17:44:38,浙江智慧高速
,5,2016-07-11,1006002,宁波绕城高速,逆时针九龙湖站 - 保国寺站,,2016-07-25 16:00:00,保国寺站附近有施工,07-01 06:30 G1501宁波绕城高速九龙湖往姜山北方向保国寺站附近有施工，占据第二、第三车道及硬路肩车道，预计在2016-07-25 16:00:00后恢复。,http://app.zjzhgs.com/MQTTWechatAPIServer/businessserver/showhighdetail/5,2016-07-01 06:30:00,浙江智慧高速
,14,2016-07-11,1006002,长深高速(丽龙),往龙泉赤石站 - 龙泉安仁站,,2016-07-11 17:30:00,赤石站附近有施工,"07-11 06:30 G25长深高速(丽龙)往龙泉方向过赤石站5公里有施工,占据一、二车道，预计在2016-07-11 17:30:00后恢复。",http://app.zjzhgs.com/MQTTWechatAPIServer/businessserver/showhighdetail/14,2016-07-11 06:30:00,浙江智慧高速
,14,2016-07-11,1006003,长深高速(丽龙),双向丽水站 - 塔石站,,,即日起丽水所辖收费站22:00后禁止超载车辆上高速。,即日起丽水所辖收费站22:00后禁止超载车辆上高速。,http://app.zjzhgs.com/MQTTWechatAPIServer/businessserver/showhighdetail/14,2015-05-26 15:06:03,浙江智慧高速
,20,2016-07-11,1006001,沪昆高速(杭金衢),往杭州五里枢纽 - 衢州西站,,,五里枢纽附近有坑洞,07-11 15:47 G60沪昆高速(杭金衢)往杭州方向过五里枢纽6公里有坑洞，占据匝道车道，请您注意避让。,http://app.zjzhgs.com/MQTTWechatAPIServer/businessserver/showhighdetail/20,2016-07-11 15:47:57,浙江智慧高速
,20,2016-07-11,1006001,沪昆高速(杭金衢),往江西衢州西站 - 五里枢纽,,,衢州西站附近有漏水,07-11 15:08 G60沪昆高速(杭金衢)往江西方向过衢州西站4公里，天桥排水管故障，目前有漏水现场，占据第二车道，请您注意避让。,http://app.zjzhgs.com/MQTTWechatAPIServer/businessserver/showhighdetail/20,2016-07-11 15:08:30,浙江智慧高速
,20,2016-07-11,1006002,沪昆高速(杭金衢),往杭州浦江站 - 郑家坞站,,,浦江站附近有施工,07-11 08:24 G60沪昆高速(杭金衢)往杭州方向浦江站附近有施工，需借道通行，预计2016-07-12 06:00后恢复。,http://app.zjzhgs.com/MQTTWechatAPIServer/businessserver/showhighdetail/20,2016-07-11 08:24:06,浙江智慧高速
,20,2016-07-11,1006002,沪昆高速(杭金衢),往江西龙游站 - 吕塘角枢纽,,2016-07-06 16:00:00,龙游站附近有施工,07-06 08:32 G60沪昆高速(杭金衢)往江西方向龙游站附近有施工，占据第二车道，预计在2016-07-06 16:00:00后恢复。,http://app.zjzhgs.com/MQTTWechatAPIServer/businessserver/showhighdetail/20,2016-07-06 08:32:34,浙江智慧高速
