id,link_info
154088,"[{""navids"":""736299;736298;14666781"";""directions"":""3;2;3""}]"
154089,"[{""navids"":""669733;14947565;14947564"";""directions"":""3;2;3""}]"
128352,"[{""navids"":""671252;669742;669741"";""directions"":""3;2;3""};{""navids"":""669743;669744;671251"";""directions"":""2;2;2""}]"
132297,"[{""navids"":""669744;671251;671247"";""directions"":""2;2;2""};{""navids"":""671249;669764;671252"";""directions"":""3;2;3""}]"
153831,"[{""navids"":""14943688;14943658;14943656;14943650;14943648;14943644;14943628;14943631;40221674"";""directions"":""3;3;3;3;3;3;2;3;3""};{""navids"":""14943632;14943634;14943635;14943626;14943646;14943652;14943654;14943690"";""directions"":""2;2;2;2;2;2;2;2""}]"
153678,"[{""navids"":""1355012"";""directions"":""2""};{""navids"":""14505397;14505398"";""directions"":""2;2""}]"
153679,"[{""navids"":""878452;878453;876947;876981;14726717"";""directions"":""2;2;2;2;2""};{""navids"":""876980;876979;876948;878455;14726720"";""directions"":""3;3;2;3;3""}]"
132857,"[{""navids"":""85168466;85413510;85413509;85413505;85413501;85413499"";""directions"":""3;3;2;3;3;3""};{""navids"":""85413497;85413503;85413507;85413511;85413512;85168474"";""directions"":""2;2;2;2;2;2""}]"
132859,"[{""navids"":""85168466;85413510;85413509;85413505;85413501;85413499"";""directions"":""3;3;2;3;3;3""};{""navids"":""85413497;85413503;85413507;85413511;85413512;85168474"";""directions"":""2;2;2;2;2;2""}]"
154090,"[{""navids"":""669733;14947565;14947564"";""directions"":""3;2;3""};{""navids"":""669761;669759;14666782"";""directions"":""2;2;2""}]"
126566,"[{""navids"":""57867766;57867767;57867765;57867760"";""directions"":""2;2;2;2""};{""navids"":""57867759;57867762;57867763;57867753;57867749"";""directions"":""2;2;2;2;2""}]"
154091,"[{""navids"":""720261;724915;724916;724903;49320874;49320875"";""directions"":""2;2;2;2;2;2""};{""navids"":""49320873;49320872;724894;724893;720260;724913"";""directions"":""3;3;2;3;3;2""}]"
