eventid,spider_oid,deleted
6021648178083870,134210,Y
6021651740440196,126061,Y
6021668047660195,132102,Y
6021671689371176,126128,Y
6021952068123202,126022,Y
6021952068123202,122362,Y
6021963744802290,134247,Y
602198217901652?,134264,Y
6021982179016522,133263,
6021991767725171,129558,
6021989579496598,129559,
6021998267519172,129126,
6023721267467892,150013,Y
6023730866549457,150119,Y
6023733344844641,134593,Y
6023735518625663,134590,
6023738125705737,134589,
6026195531438502,150801,Y
6026201396395308,150825,
6026205149918215,150262,Y
6026494509687779,150871,Y
6026496585429003,150882,Y
6024423129348399,150277,Y
6026581831923694,150904,Y
6026586283310409,150902,Y
6026585456114078,150899,Y
6026589064127952,150890,Y
6026500017479309,150908,Y
6026874210187166,150953,Y
-1,150774,
6026906232090137,150753,Y
6026910660286268,150735,
-1,150730,
6026912048266845,150702,Y
6026915001659980,150555,Y
6026916737802834,150006,Y
6021668047660195,132102,
6027329291547922,151094,Y
6027332848318922,151092,Y
-99,132743,
6028640677918236,132743,Y
6028678819475806,151429,Y
6028676548908728,151430,Y
6026970657676479,133282,Y
6028641919948408,151448,Y
6028644340200353,151438,Y
6028646887700812,151437,Y
6028673691929004,151432,Y
6028675566789381,151431,Y
6028678819475806,151429,Y
6028696431654228,151427,Y




