,spider_oid,spider_fststake,spider_lststake,spider_direction,spider_dist,spider_postdate,spider_ref,START_TIME,END_TIME,spider_status,fake_dist,fake_direction,event_type,reason,event_source,start_time,end_time,loc_name,cycle,begin_end,ref_point,ref_point_type,description,is_sure,speed,available,occupy,weather,city,link_info,id,"link_info(json格式[{""navids"":""id;id"";""directions"":""dir;dir""}","{""navids"":""id;id"";""directions"":""dir;dir""}])","额外信息(json格式[{""id-name-alias-dir"":""id;name;alias;dir"";""url"":""sogouurl""};{""id-name-alias-dir"":""id;name;alias;dir"";""url"":""sogouurl""}])"
0,154301,K14,K14,永泰葛岭收费站-旗山收费站,0.0,2016-09-22 14:08:51,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-09-22 14:08:25,,,,,,1,1：福建高速公路,1474524505000,0,S35|福诏高速,,,"117.495 ,24.5315",4,S35线福诏高速漳州段广东往漳州方向K14处（过南靖收费所约6公里）发生交通事故，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,154301,"[{""navids"":""14943219;14943215"";""directions"":""2;2""};{""navids"":""14943224;14943225"";""directions"":""2;2""}]","[{""id-name-alias-dir"":""14943215;福诏高速公路;S35;2"";""url"":""http://map.sogou.com/#c=13079095;2801052;16&tip=匹配点距离46.04318049190543;1.3079095514961053E7;2801052.51066643;事件点154301-S35|福诏高速;1.3079071543224543E7;2800750.1656894838""};{""id-name-alias-dir"":""14943224;福诏高速公路;S35;2"";""url"":""http://map.sogou.com/#c=13079088;2801093;16&tip=匹配点距离72.61032877596276;1.3079088127694162E7;2801093.863054706;事件点154301-S35|福诏高速;1.3079071543224543E7;2800750.1656894838""}]",
1,153777,K114+900,K114+900,洛江北收费站-仙游龙华收费站,0.0,2016-09-17 01:36:45,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-09-19 22:30:42,,,,,,1,1：福建高速公路,1474295442000,0,S35|福诏高速,,,"118.614 ,25.3051",4,S35线福诏高速莆田段泉州往仙游方向BK114+900处（距龙华收费站约5公里），因发生边坡溜方事件，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,153777,"[{""navids"":""95252503;95252502;95252486"";""directions"":""3;2;3""};{""navids"":""95252484;95252500;95252501"";""directions"":""2;2;2""}]","[{""id-name-alias-dir"":""95252502;福诏高速公路;S35;2"";""url"":""http://map.sogou.com/#c=13203537;2895249;16&tip=匹配点距离39.80870431782294;1.3203537878602061E7;2895249.544897541;事件点153777-S35|福诏高速;1.3203695411131151E7;2895200.386837599""};{""id-name-alias-dir"":""95252500;福诏高速公路;S35;2"";""url"":""http://map.sogou.com/#c=13203524;2895260;16&tip=匹配点距离58.69295578980677;1.3203524777975064E7;2895260.3117215927;事件点153777-S35|福诏高速;1.3203695411131151E7;2895200.386837599""}]",
2,153734,K109,K108+600,磻溪枢纽-永春东收费站,400.0,2016-09-16 07:29:47,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-09-16 07:29:18,,,,,,1,1：福建高速公路,1473982158000,0,S12|莆永高速,,,"118.323 ,25.2948",4,S12线莆永高速泉州段龙岩往莆田方向K109-K108+600处(距永春东收费站约1公里)，正在养护施工，占用紧急停车道，该路段目前超车道、主车道通行，请途经车辆谨慎驾驶。,0,,,,,,,153734,"[{""navids"":""14943504;14943506;14943507;14943510;14943514;14943516;14943554"";""directions"":""2;2;2;2;2;2;2""};{""navids"":""14943586;14943520;14943518;14943512;14943508;14943500"";""directions"":""3;3;3;2;3;3""}]","[{""id-name-alias-dir"":""14943514;莆永高速公路;S10|马岭山隧道;2"";""url"":""http://map.sogou.com/#c=13169432;2893510;16&tip=匹配点距离7.76971817264433;1.3169432938452834E7;2893510.0503446297;事件点153734-S12|莆永高速;1.3171262301906427E7;2893907.660443926""};{""id-name-alias-dir"":""14943512;莆永高速公路;S10|马岭山隧道;2"";""url"":""http://map.sogou.com/#c=13169429;2893554;16&tip=匹配点距离28.105127289510754;1.316942950204139E7;2893554.4919381617;事件点153734-S12|莆永高速;1.3171262301906427E7;2893907.660443926""}]",
3,153652,K13,K14,泉州北收费站-洛江收费站,100.0,2016-09-17 14:35:31,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-09-15 12:57:51,,,,,,1,1：福建高速公路,1473915471000,0,G1502|泉州环城高速,,,"118.596 ,24.9717",4,G1502线泉州环城高速南安往惠安方向及惠安往南安方向K13（距洛江收费站约2公里）、南安往惠安方向及惠安往南安方向K14（距洛江收费站约1公里）发生地质灾害，占用紧急停车道、超车道，该路段目前主、慢车道可正常通行，请途经车辆谨慎驾驶。,0,,,,,,,153652,"[{""navids"":""14666862;49320849;689889"";""directions"":""2;2;2""};{""navids"":""689888;12511786;40221680"";""directions"":""3;2;3""}]","[{""id-name-alias-dir"":""49320849;泉州环城高速公路;G1502;2"";""url"":""http://map.sogou.com/#c=13201696;2854431;16&tip=匹配点距离1.2886428995935344;1.320169665081162E7;2854431.1357131563;事件点153652-G1502|泉州环城高速;1.3201693783596236E7;2854432.001091636""};{""id-name-alias-dir"":""12511786;泉州环城高速公路;G1502;2"";""url"":""http://map.sogou.com/#c=13201697;2854455;16&tip=匹配点距离22.7347985242203;1.3201697159711633E7;2854455.5050982535;事件点153652-G1502|泉州环城高速;1.3201693783596236E7;2854432.001091636""}]",
4,132102,K117,K117,仙游龙华收费站-洛江北收费站,0.0,2016-07-09 12:35:59,http://appserver.fjgsgl.cn/NewFJGSWechatAPIServer/index.php/userautoserver/showtrafficinfo?tab=1,2016-07-09 18:40:01,,,,,,1,1：福建高速公路,1468060801000,0,S35|S35线沈海复线,,,"118.607 ,25.2874",4,S35线沈海复线泉州段莆田往泉州方向K117处（距洛江北收费站约5公里），发生地质灾害，事故占用主车道、紧急停车带，该路段目前单车道通行，请途经车辆谨慎驾驶。,0,,,,,,,132102,"[{""navids"":""95252668;95252520;95252516"";""directions"":""3;2;3""};{""navids"":""95252518;95252522;95252670"";""directions"":""2;2;2""}]","[{""id-name-alias-dir"":""95252520;福诏高速公路;S35|广桥3号左幅1号桥;2"";""url"":""http://map.sogou.com/#c=13202809;2893132;16&tip=匹配点距离6.607609325163544;1.3202809535703268E7;2893132.9119602796;事件点132102-S35|S35线沈海复线;1.3202916524865039E7;2893033.2568986733""};{""id-name-alias-dir"":""95252522;福诏高速公路;S35|广桥3号右幅1号桥;2"";""url"":""http://map.sogou.com/#c=13202794;2893117;16&tip=匹配点距离32.34689670519926;1.320279404859777E7;2893117.348678941;事件点132102-S35|S35线沈海复线;1.3202916524865039E7;2893033.2568986733""}]",
5,154304,K125+480,K125+280,政和收费站-杨源收费站,200.0,2016-09-22 14:42:20,14,2016-09-22 14:41:42,,,,,,2,1:福建高速公路,1474526502000,0,G1514|宁上高速,,,"118.893 ,27.2357",4,G1514线宁上高速政和段武夷山往政和方向K125+480-K125+280（距洞宫山服务区约13公里），正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,154304,"[{""navids"":""12838412;12838413;12838131;12838132"";""directions"":""2;2;2;2""};{""navids"":""12838130;12838129;12838292;12838415;12838414"";""directions"":""3;3;2;3;3""}]","[{""id-name-alias-dir"":""12838413;宁上高速公路;G1514|山岗隧道;2"";""url"":""http://map.sogou.com/#c=13235270;3131947;16&tip=匹配点距离3.50162547068303;1.3235270880720817E7;3131947.3766669924;事件点154304-G1514|宁上高速;1.3234736192039063E7;3133644.5911607533""};{""id-name-alias-dir"":""12838292;宁上高速公路;G1514|山岗隧道;2"";""url"":""http://map.sogou.com/#c=13235187;3131946;16&tip=匹配点距离55.70551847469205;1.3235187351016143E7;3131946.3773004524;事件点154304-G1514|宁上高速;1.3234736192039063E7;3133644.5911607533""}]",
6,154251,K97,K97,永春东收费站-永春湖洋收费站,0.0,2016-09-22 07:37:07,14,2016-09-22 14:32:37,,,,,,2,1:福建高速公路,1474525957000,0,S12|莆永高速,,,"118.402 ,25.3604",4,S12线莆永高速泉州段龙岩往莆田方向K97处(垵口隧道内，距永春湖洋收费站约3公里)，正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶。,0,,,,,,,154251,"[{""navids"":""14943654;14943690;14943691"";""directions"":""2;2;2""};{""navids"":""14943702;14943688;14943658"";""directions"":""3;2;3""}]","[{""id-name-alias-dir"":""14943690;莆永高速公路;S10;2"";""url"":""http://map.sogou.com/#c=13180699;2902484;16&tip=匹配点距离11.588644827530585;1.3180699724244235E7;2902484.0360924485;事件点154251-S12|莆永高速;1.3180046542776749E7;2901930.554543178""};{""id-name-alias-dir"":""14943688;莆永高速公路;S10;2"";""url"":""http://map.sogou.com/#c=13180691;2902507;16&tip=匹配点距离15.40188420565547;1.3180691387922132E7;2902507.3795807473;事件点154251-S12|莆永高速;1.3180046542776749E7;2901930.554543178""}]",
7,154293,K130,K131+800,安溪湖头收费站-岩峰枢纽,1800.0,2016-09-22 14:30:40,14,2016-09-22 14:30:08,,,,,,2,1:福建高速公路,1474525808000,0,S12|莆永高速,,,"118.129 ,25.2636",4,S12线莆永高速泉州段龙岩往莆田方向K130-K131+800处(过湖头收费站约8公里)，正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶。,0,,,,,,,154293,"[{""navids"":""14946425;14947049;14947051"";""directions"":""2;2;2""};{""navids"":""14947053;14947047;14947045"";""directions"":""3;2;3""}]","[{""id-name-alias-dir"":""14947049;莆永高速公路;东溪大桥|S10;2"";""url"":""http://map.sogou.com/#c=13149648;2890087;16&tip=匹配点距离6.71783260486601;1.3149648328970337E7;2890087.880236636;事件点154293-S12|莆永高速;1.3149645936012514E7;2890076.4087961526""};{""id-name-alias-dir"":""14947047;莆永高速公路;东溪大桥|S10;2"";""url"":""http://map.sogou.com/#c=13149642;2890109;16&tip=匹配点距离29.19061083034449;1.3149642608382601E7;2890109.4471843797;事件点154293-S12|莆永高速;1.3149645936012514E7;2890076.4087961526""}]",
8,154302,K8+300,K8+300,南安枢纽-南安西（仑苍）,0.0,2016-09-22 14:28:35,14,2016-09-22 14:27:59,,,,,,2,1:福建高速公路,1474525679000,0,S7221|,,,"118.326 ,25.0316",4,S7221线双安连接线南安往安溪方向K8+300处（距南安西仑苍收费站约3公里），正在养护施工，占用主车道、紧急停车道，该路段目前单车道通行，请途经车辆谨慎驾驶。,0,,,,,,,154302,"[{""navids"":""19768261;19768270;19768271;19768252;19768253"";""directions"":""2;2;2;2;2""};{""navids"":""19768255;19768254;19768273;19768275;19768274;19768263"";""directions"":""3;3;2;3;3;3""}]","[{""id-name-alias-dir"":""19768271;安溪连接线;S7221;2"";""url"":""http://map.sogou.com/#c=13171940;2861670;16&tip=匹配点距离11.99824685663816;1.317194065826194E7;2861670.862804471;事件点154302-S7221;1.3171598070013864E7;2861716.190705242""};{""id-name-alias-dir"":""19768273;安溪连接线;S7221;2"";""url"":""http://map.sogou.com/#c=13171882;2861658;16&tip=匹配点距离16.325309240911754;1.3171882313096257E7;2861658.3546070214;事件点154302-S7221;1.3171598070013864E7;2861716.190705242""}]",
9,154295,K1831,K1867,宁德古田收费站-东桥收费站,3600.0,2016-09-22 13:10:13,14,2016-09-22 13:09:03,,,,,,2,1:福建高速公路,1474520943000,0,G3|京台高速,,,"118.843 ,26.4294",4,G3线京台高速福州段建瓯往福州方向K1831（距闽清东桥收费站约9公里）—K1867处（距闽侯白沙收费站约500米）正在养护施工，占用应急车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,154295,"[{""navids"":""57536719;55018135"";""directions"":""3;2""};{""navids"":""55018137;57536721;57536722;55230439"";""directions"":""2;2;2;2""}]","[{""id-name-alias-dir"":""55018135;京台高速公路;G3|黄竹山隧道;2"";""url"":""http://map.sogou.com/#c=13229683;3032895;16&tip=匹配点距离61.98054240299297;1.3229683378156893E7;3032895.26927892;事件点154295-G3|京台高速;1.3229169876287267E7;3033597.2207443505""};{""id-name-alias-dir"":""57536721;京台高速公路;G3|黄竹山隧道;2"";""url"":""http://map.sogou.com/#c=13227944;3035865;16&tip=匹配点距离313.45815664267445;1.3227944695617843E7;3035865.6283359635;事件点154295-G3|京台高速;1.3229169876287267E7;3033597.2207443505""}]",
