,event_type,reason,event_source,start_time,end_time,loc_name,cycle,begin_end,ref_point,ref_point_type,description,is_sure,speed,available,occupy,weather,city,"link_info(json格式[{""navids"":""id;id"";""directions"":""dir;dir""}","额外信息(json格式[{""id-name-alias-dir"":""id;name;alias;dir"";""url"":""sogouurl""};{""id-name-alias-dir"":""id;name;alias;dir"";""url"":""sogouurl""}])"
45,,2,1:福建高速公路,1474499415000,0,S35|S35线沈海复线,,,"117.584 ,24.6168",4,S35线沈海复线福永段永泰往福州方向K0—K7处（距旗山收费所约1公里）正在养护施工，占用超车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""14943366;14943375;14943376"";""directions"":""2;2;2""};{""navids"":""14943371;14943372;14943337"";""directions"":""2;2;2""}]",
46,,2,1:福建高速公路,1474499319000,0,G15W3|G15W3线沈海复线,,,"119.655 ,26.3118",4,G15W3线沈海复线福州段福州往宁德方向K180+100处（过浦口收费站约6公里）正在养护施工，占用应急车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""69098739;69098740;69098738;69098732;69098728;57826498;57826471"";""directions"":""2;2;2;2;2;2;2""};{""navids"":""57826474;57826511;57826512;69098729"";""directions"":""2;2;2;2""}]",
47,,2,1:福建高速公路,1474498850000,0,G15W3|G15W3线沈海复线,,,"119.653 ,26.3111",4,G15W3线沈海复线福州段宁德往福州方向K180+300处（距浦口收费站约6公里）正在养护施工，占用应急车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""69098739;69098740;69098738;69098732;69098728;57826498;57826471"";""directions"":""2;2;2;2;2;2;2""};{""navids"":""57826474;57826511;57826512"";""directions"":""2;2;2""}]",
48,,2,1:福建高速公路,1474498775000,0,G15|沈海高速,,,"117.98 ,24.581",4,G15线沈海高速厦漳厦门段漳州往福州方向K2316-K2313处（距杏林收费站约3公里）正在养护施工，占用第一车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""821189;821192;14666726"";""directions"":""2;2;2""};{""navids"":""14666729;14666728;14666731;69981514;69981513"";""directions"":""3;3;2;3;3""}]",
49,,2,1:福建高速公路,1474498649000,0,G25|长深高速,,,"118.672 ,27.2078",4,G25线长深高速建瓯段松溪往建瓯方向K2819+100-K2819+704处（过川石收费站约4公里，大垄隧道内），正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""14726586;14726585;85413114;85413113;85413252;85413251;85413256;14726588"";""directions"":""3;3;3;3;2;3;3;3""};{""navids"":""14726590;85413366;85413249;85413250"";""directions"":""2;2;2;2""}]",
50,,2,1:福建高速公路,1474498631000,0,G25|长深高速,,,"118.702 ,27.3416",4,G25线长深高速建瓯段建瓯往川石方向K2803+307-K2802+815处（过川石收费站约12公里，南山隧道内），正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""14726947;14726948;85404136;85404139;85404143"";""directions"":""2;2;2;2;2""};{""navids"":""85404141;85404137;85404133;85404129"";""directions"":""3;2;3;3""}]",
51,,2,1:福建高速公路,1474495599000,0,G15|沈海高速,,,"119.491 ,26.3539",4,G15线沈海高速罗长段宁德往福州方向K2026处（距丹阳收费站约1公里）正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""49316128;49316124;49316120;1997147"";""directions"":""2;2;2;2""};{""navids"":""14726728;14726727;1997166;49316118;49316122;49316126"";""directions"":""3;3;3;2;3;3""}]",
52,,2,1:福建高速公路,1474444941000,0,G15|沈海高速,,,"119.461 ,25.9537",4,G15线沈海高速福州段福州往泉州方向K2078+200-2079+030（过营前收费站约2公里）、K2088+400（过兰圃收费站约1公里）、K2090+450（过兰圃收费站约3公里）、K2091+200（过兰圃收费站约4公里）、K2094+200（过兰圃收费站约7公里）、K2099+730-K2100+360（过兰圃收费站约12公里）正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""13302705;13302707;13302709;13302710;13302711;13302713;13302715;13302716"";""directions"":""2;2;2;2;2;2;2;2""};{""navids"":""13302703;1139869;1139868;1128894;13302720;13302719;1138185"";""directions"":""3;2;3;3;3;3;3""}]",
53,,2,1:福建高速公路,1474426321000,0,G15|沈海高速,,,"119.55 ,26.661",4,G15线沈海高速宁德段宁德往霞浦方向K1982+800M-K1983+500M处（过宁德南收费所约3公里），正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""87055256;87055257;86489257"";""directions"":""2;2;2""};{""navids"":""86489259;87055259;87055258"";""directions"":""2;3;3""}]",
54,,2,1:福建高速公路,1474422582000,0,G15|沈海高速,,,"119.577 ,26.7174",4,G15线沈海高速宁德段宁德往霞浦方向及霞浦往宁德方向K1975+500M-K1984+164M处（距宁德南收费所约1公里），正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""896891;896889;898329;898333;898335"";""directions"":""3;3;2;3;3""};{""navids"":""898336;898331;14948549;14948550;885290;885292"";""directions"":""2;2;2;2;2;2""}]",
55,,2,1:福建高速公路,1474417597000,0,G15|沈海高速,,,"118.054 ,24.612",4,G15线沈海高速漳州往福州方向K2308处（距厦门收费站约3公里）正在养护施工，占用第二、三、四车道，第一车道可正常通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,"[{""navids"":""95817777;95817776;95817774;14666733"";""directions"":""3;3;2;3""};{""navids"":""754740;95817772;95817778;95817779"";""directions"":""2;2;2;2""}]",
