spider_oid,loc_name,ref_point,ref_point_type,spider_dist,zdirection
154301,S35|福诏高速,"117.495 ,24.5315",4,0.0,永泰葛岭收费站-旗山收费站
153777,S35|福诏高速,"118.614 ,25.3051",4,0.0,洛江北收费站-仙游龙华收费站
153734,S12|莆永高速,"118.323 ,25.2948",4,400.0,磻溪枢纽-永春东收费站
153652,G1502|泉州环城高速,"118.596 ,24.9717",4,100.0,泉州北收费站-洛江收费站
132102,S35|S35线沈海复线,"118.607 ,25.2874",4,0.0,仙游龙华收费站-洛江北收费站
154306,G25|长深高速,"118.19 ,26.685",4,0.0,南平收费站-南平北收费站
154305,G25|长深高速,"118.179 ,26.6843",4,0.0,南平收费站-南平北收费站
154304,G1514|宁上高速,"118.893 ,27.2357",4,200.0,政和收费站-杨源收费站
154251,S12|莆永高速,"118.402 ,25.3604",4,0.0,永春东收费站-永春湖洋收费站
154293,S12|莆永高速,"118.129 ,25.2636",4,1800.0,安溪湖头收费站-岩峰枢纽
154302,S7221|,"118.326 ,25.0316",4,0.0,南安枢纽-南安西（仑苍）
154295,G3|京台高速,"118.843 ,26.4294",4,3600.0,宁德古田收费站-东桥收费站
154291,S7211|永漳高速,"117.486 ,25.7555",4,0.0,岭头枢纽-漳平新桥收费站
154294,G72|泉南高速,"118.291 ,25.2308",4,0.0,永春收费站-码头收费站
154289,G76|厦蓉高速,"116.509 ,25.4566",4,0.0,涂坊收费站-北村枢纽
154288,G15|沈海高速,"118.27 ,24.6798",4,3700.0,西锦枢纽-翔安收费站
154282,S12|莆永高速,"118.397 ,25.3582",4,500.0,永春东收费站-永春湖洋收费站
154287,G25|长深高速,"118.559 ,27.1064",4,1907.0,建瓯东游收费站-建瓯东峰收费站
154285,S12|莆永高速,"117.637 ,25.3076",4,0.0,安溪福田收费站-溪南收费站
154283,G15|沈海高速,"119.723 ,26.8353",4,50.0,湾坞收费站-下白石收费站
154284,G15|沈海高速,"118.11 ,24.6575",4,0.0,厦门枢纽-同安收费站
154277,G15|沈海高速,"117.392 ,23.856",4,10.0,竹港主线枢纽互通-常山收费站
154275,G76|厦蓉高速,"117.442 ,24.6687",4,20.0,南靖丰田收费站-金山收费站
154278,G15|沈海高速,"117.388 ,23.897",4,6.5,常山收费站-云霄收费站
154280,G15|沈海高速,"117.39 ,23.8696",4,29.5,竹港主线枢纽互通-常山收费站
154279,G15|沈海高速,"117.408 ,23.9369",4,10.0,常山收费站-云霄收费站
154274,G76|厦蓉高速,"116.385 ,25.6836",4,0.0,长汀收费站-河田收费站
154273,G15|沈海高速,"118.662 ,24.9421",4,500.0,草埔园枢纽-泉州收费站
154268,G76|厦蓉高速,"117.507 ,24.6389",4,20.0,天宝枢纽-南靖丰田收费站
154270,G76|厦蓉高速,"117.487 ,24.6436",4,20.0,南靖丰田收费站-天宝枢纽
154269,G76|厦蓉高速,"117.49 ,24.6426",4,30.0,天宝枢纽-南靖丰田收费站
154266,S1525漳州南连接|,"117.665 ,24.4129",4,328.5,漳州南收费站-龙海东泗收费站
154262,G15|沈海高速,"120.258 ,27.4238",4,2000.0,沈海闽浙交界-沈海闽浙收费站
154265,G15|沈海高速,"119.559 ,26.158",4,0.0,连江收费站-琯头收费站
154263,G15|沈海高速,"120.246 ,27.4",4,1000.0,沈海闽浙收费站-沈海闽浙交界
154260,G15W3|G15W3线沈海复线,"119.607 ,26.4784",4,500.0,罗源湾收费站-飞鸾枢纽
154256,S30|厦沙高速,"118.062 ,25.017",4,0.0,官桥分叉-安溪龙门收费站
154257,G15|沈海高速,"118.31 ,24.6762",4,4000.0,西锦枢纽-翔安收费站
154255,G70|福银高速,"119.296 ,25.962",4,1500.0,福州南收费站-祥谦枢纽
154253,S35|S35线沈海复线,"119.176 ,25.9103",4,200.0,永泰葛岭收费站-旗山收费站
154249,G1514|宁上高速,"118.929 ,27.1859",4,3422.0,杨源收费站-政和收费站
154252,G1514|宁上高速,"118.905 ,27.1967",4,0.0,杨源收费站-政和收费站
154228,G25|长深高速,"116.755 ,25.6555",4,0.0,朋口收费站-连城收费站
154238,S12|莆永高速,"116.852 ,24.8545",4,2000.0,上北枢纽-高陂收费站
154239,S12|莆永高速,"116.848 ,24.8711",4,100.0,上北枢纽-高陂收费站
