spider_oid,loc_name,ref_point,ref_point_type,spider_dist,zdirection
road_AP7XVK78G00,沈海高速,"119.436113257776 ,35.4429254966592",4,900.0,圈村枢纽-日照北
road_APA1XMGT800,泰新高速,"117.221427529445 ,36.1372008954203",4,100.0,泰安东-化马湾
road_AP7ED9J8G00,京台高速,"117.294361083356 ,34.7859986254789",4,4600.0,德州
road_AP7EERE0000,京台高速,"117.294361083356 ,34.7859986254789",4,4600.0,枣庄
road_AL0HK3AT000,济聊高速,"115.903493387736 ,36.4715021599305",4,7974.0,聊城西-聊城
road_AP8MBE18000,日兰高速,"119.115615568214 ,35.4973110365795",4,1900.0,兰考
road_AP8K4H9RG00,济广高速,"116.015927890914 ,35.4628766583853",4,800.0,王官屯枢纽-嘉祥西
road_AP9VV6VGQ00,京台高速,"117.119266386405 ,35.219544586029",4,2570.0,滕州-峄山
road_AP9W0792G00,京台高速,"117.119266386405 ,35.219544586029",4,2570.0,滕州-峄山
road_AP9W09ER800,京台高速,"117.119266386405 ,35.219544586029",4,2570.0,峄山-滕州
road_AP9W30M8800,青银高速,"118.469416498032 ,36.8200759041819",4,2000.0,寿光-昌乐
road_AP9W1AGW800,青银高速,"118.469416498032 ,36.8200759041819",4,2000.0,昌乐-寿光
road_AP5A8212000,威青高速,"120.859185352704 ,36.6680965739042",4,3600.0,羊郡-行村
road_AP8NK5L5800,威青高速,"120.953128202557 ,36.6680225468371",4,2100.0,行村-辛安
road_AP3PVMK3Q00,威青高速,"120.759486585477 ,36.6351515415986",4,3746.0,穴坊-羊郡
road_9X1BRA97000,济聊高速,"115.796107325827 ,36.4673989082545",4,11000.0,侯营-聊城西
road_AP7C3XMWG00,威青高速,"121.218552145151 ,36.7632861283895",4,2200.0,青岛
road_AP7D18XG800,沈海高速,"119.34571618539 ,35.2037459386683",4,18480.0,日照南-岚山
road_AP7D0LUPG00,沈海高速,"119.34571618539 ,35.2037459386683",4,18480.0,岚山-日照南
